Title,Genre,Budget,Homepage,Language,Overview,Poster path,Production company,Release Date,Commercial Success,Revenue,Tagline,Vote Average,All Genres
The 5th Wave,Action,38,https://www.facebook.com/5thWaveMovie/,English,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,/cgxEscv6TQRK6a514FwuJOjcqQ5.jpg,Columbia Pictures,2016,Medium,398,Protect Your Own,5.6,Science Fiction  Adventure
Death Race,Action,45,http://www.deathracemovie.net/,English,Terminal Island  New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation  which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates  a global audience hungry for violence and a spectacular  enclosed arena come together to form the 'Death Race'  the biggest  most brutal event.,/3dIZ049AxmvrvNiXKPc36YNum7g.jpg,Universal Pictures,2008,Medium,398,Get ready for a killer race.,6.0,Action  Science Fiction  Thriller
Taking Lives,Action,45,,English,Recruited to assist Montreal police in their desperate search for a serial killer who assumes the identities of his victims  FBI profiler Illeana Scott knows it's only a matter of time before the killer strikes again. Her most promising lead is a museum employee who might be the killer's only eyewitness.,/2LE560KT69RLnxIU83wrTvClj8D.jpg,Village Roadshow Pictures,2004,Medium,398,He would kill to be you.,6.0,Action  Thriller
Date Night,Comedy,55,http://www.datenight-movie.com/,English,Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night  their dinner reservation leads to their being mistaken for a couple of thieves – and now a number of unsavoury characters want Phil and Claire killed.,/fzzPht9KId6Ollow30jYtABhDY3.jpg,Twentieth Century Fox Film Corporation,2010,Medium,397,One ordinary couple. One little white lie.,5.9,Comedy
Collateral Beauty,Drama,36,http://collateralbeauty-movie.com/,English,Retreating from life after a tragedy  a man questions the universe by writing to Love  Time and Death. Receiving unexpected answers  he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.,/9tFRalU3JmZHddgYVL0BypWRpbb.jpg,New Line Cinema,2016,Medium,397,We are all connected,6.9,Drama  Romance
After the Sunset,Drama,60,http://www.afterthesunset.com/,English,"Two master thieves (Brosnan and Hayek) are finally retiring after one last succesful mission. Residing in their own tropical paradise  their old nemesis  FBI Agent Stan P. Lloyd shows up to make sure they really are retired. Docked in the port is an ocean liner called the ""Diamond Cruise"" and Stan is convinced that they're not really retired at all  and that this is the next set up.",/seEavscJqc1TuHfSZMeXQwohkNf.jpg,New Line Cinema,2004,Medium,397,Who will walk away?,6.0,Action  Comedy  Drama
Mr. Popper's Penguins,Comedy,55,http://www.popperspenguins.com/main.html,English,Jim Carrey stars as Tom Popper  a successful businessman who’s clueless when it comes to the really important things in life...until he inherits six “adorable” penguins  each with its own unique personality. Soon Tom’s rambunctious roommates turn his swank New York apartment into a snowy winter wonderland — and the rest of his world upside-down.,/qKkyePjlG9yilHpS89ZOc3N2Cd1.jpg,Twentieth Century Fox Film Corporation,2011,Medium,397,,5.7,Comedy  Family
STAND BY ME ドラえもん,Family,35,http://doraemon-3d.com/,Other,In the suburbs of Tokyo some time ago  there lived a clumsy boy about 10 years old. There appeared in front of him named Sewashi  Nobita's descendant of four generations later from the 22nd century  and Doraemon  a 22nd century cat-type caretaker robot who helps people with its secret gadgets. Sewashi claims that his family is suffering from the debts Nobita made even to his generation  so in order to change this disastrous future  he brought along Doraemon as Nobita's caretaker to bring happiness to his future  although Doraemon is not happy about this. And so Sewashi installed an accomplishment program into Doraemon forcing him to take care of Nobita. Unless he makes Nobita happy  Doraemon can no longer go back to the 22nd century. This is how the life of Doraemon and Nobita begins. Will Doraemon succeed this mission and return to the 22nd century?,/wO0rlZ1d2uUdNejPNlZWIDwNxgJ.jpg,Toho,2014,Medium,397,Is Doraemon ending this summer?,7.0,Fantasy  Family
Fantasia 2000,Family,80,http://movies.disney.com/fantasia-2000,English,Blending lively music and brilliant animation  this sequel to the original 'Fantasia' restores 'The Sorcerer's Apprentice' and adds seven new shorts.,/5rwAtUaKEK48CPUijVfVU0IPKPZ.jpg,Walt Disney Pictures,2012,Medium,397,,7.0,Family
Gangs of New York,Drama,100,http://video.movies.go.com/gangsofnewyork/,English,It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin  Bill the Butcher  who murdered his father years earlier. With an eager pickpocket by his side and a whole new army  Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.,/ytKo2tLvKUd9Kbs0poXSQh6ft7d.jpg,Miramax Films,2002,Medium,397,America was born in the streets.,7.1,Drama
The Great Raid,Action,80,,English,As World War II rages  the elite Sixth Ranger Battalion is given a mission of heroic proportions: push 30 miles behind enemy lines and liberate over 500 American prisoners of war.,/o4ZdK0xbx6qKxSYQzo90w3PbdPU.jpg,Lawrence Bender Productions,2005,Medium,397,The most daring rescue mission of our time is a story that has never been told,6.8,Action
Snow White and the Huntsman,Drama,170,http://www.snowwhiteandthehuntsman.com/,English,After the Evil Queen marries the King  she performs a violent coup in which the King is murdered and his daughter  Snow White  is taken captive. Almost a decade later  a grown Snow White is still in the clutches of the Queen. In order to obtain immortality  The Evil Queen needs the heart of Snow White. After Snow escapes the castle  the Queen sends the Huntsman to find her in the Dark Forest.,/40iabcM7KQLJzmO8yGm8AvUbxZR.jpg,Universal Pictures,2012,Medium,397,The Fairytale is Over,5.8,Fantasy  Drama  Adventure
Outbreak,Drama,50,,English,A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town  which must be quarantined  and to prevent an over reaction by the White House.,/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg,Kopelson Entertainment,2000,Medium,397,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,6.4,Action  Science Fiction  Drama  Thriller
Alien: Covenant,SF & Fantasy,97,https://alienuniverse.com/alien-covenant,English,Bound for a remote planet on the far side of the galaxy  the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise  but is actually a dark  dangerous world – which has its sole inhabitant the 'synthetic'  David  survivor of the doomed Prometheus expedition.,/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg,Twentieth Century Fox Film Corporation,2017,Medium,397,The path to paradise begins in hell.,5.7,Science Fiction  Thriller  Horror
Life As We Know It,Drama,38,,English,After a distastrous first date for caterer Holly and network sports director Messer  all they have is common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world  Holly and Messer must set their differences aside. Juggling careers and social calendars  they'll have to find common ground while living under the same roof.,/u7Gei2Hvh0ux4weJRDZsgMoXSTI.jpg,Josephson Entertainment,2010,Medium,397,A comedy about taking it one step at a time.,6.6,Comedy  Drama  Romance
The Chamber,Drama,50,,English,"Having survived the hatred and bigotry that was his Klansman grandfather's only legacy  young attorney Adam Hall seeks at the last minute to appeal the old man's death sentence for the murder of two small Jewish boys 30 years before. Only four weeks before Sam Cayhall is to be executed  Adam meets his grandfather for the first time in the Mississippi prison which has held him since the crime. The meeting is predictably tense when the educated  young Mr. ""Hall"" confronts his venom-spewing elder  Mr. ""Cayhall "" about the murders. The next day  headlines run proclaiming Adam the grandson who has come to the state to save his grandfather  the infamous Ku Klux Klan bomber. While the old man's life lies in the balance  Adam's motivation in fighting this battle becomes clear as the story unfolds. Not only does he fight for his grandfather  but perhaps for himself as well. He has come to heal the wounds of his own father's suicide...",/dHwB9Fn2uBEkxkMZZxWpxMGrhL3.jpg,Imagine Entertainment,2018,Medium,397,,5.9,Drama
