Title,Genre,Budget,Homepage,Language,Overview,Poster path,Production company,Release Date,Commercial Success,Revenue,Tagline,Vote Average,All Genres
Avatar,SF & Fantasy,237,http://www.avatarmovie.com/,English,In the 22nd century  a paraplegic Marine is dispatched to the moon Pandora on a unique mission  but becomes torn between following orders and protecting an alien civilization.,/kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg,Ingenious Film Partners,2009,Blockbuster,2788,Enter the World of Pandora.,7.2,Action  Fantasy  Science Fiction  Adventure
Star Wars: The Force Awakens,Action,245,http://www.starwars.com/films/star-wars-episode-vii,English,Thirty years after defeating the Galactic Empire  Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.,/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg,Lucasfilm,2015,Blockbuster,2068,Every generation has a story.,7.5,Action  Fantasy  Science Fiction  Adventure
Titanic,Romance,200,http://www.titanicmovie.com,English,84 years later  a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert  Brock Lovett  Lewis Bodine  Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912  on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother  Ruth DeWitt Bukater  and her fiancé  Caledon Hockley. Meanwhile  a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th  1912 at 2:20 in the morning.,/kHXEpyfl6zqn8a6YuozZUujufXf.jpg,Paramount Pictures,2012,Blockbuster,1845,Nothing on Earth could come between them.,9.5,Drama  Thriller  Romance
The Avengers,SF & Fantasy,220,http://marvel.com/avengers_movie/,English,When an unexpected enemy emerges and threatens global safety and security  Nick Fury  director of the international peacekeeping agency known as S.H.I.E.L.D.  finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe  a daring recruitment effort begins!,/cezWGskPY5x7GaglTTRN4Fugfb8.jpg,Paramount Pictures,2012,Blockbuster,1520,Some assembly required.,7.4,Action  Science Fiction  Adventure
Jurassic World,Thriller,150,http://www.jurassicworld.com/,English,Twenty-two years after the events of Jurassic Park  Isla Nublar now features a fully functioning dinosaur theme park  Jurassic World  as originally envisioned by John Hammond.,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,Universal Studios,2015,Blockbuster,1514,The park is open.,6.5,Action  Science Fiction  Adventure  Thriller
Furious 7,Action,190,http://www.furious7.com/,English,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,/dCgm7efXDmiABSdWDHBDBx2jwmn.jpg,Universal Pictures,2015,Blockbuster,1506,Vengeance Hits Home,7.3,Action
Avengers: Age of Ultron,SF & Fantasy,280,http://marvel.com/movies/movie/193/avengers_age_of_ultron,English,When Tony Stark tries to jumpstart a dormant peacekeeping program  things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges  it is up to The Avengers to stop him from enacting his terrible plans  and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.,/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg,Marvel Studios,2015,Blockbuster,1405,A New Age Has Come.,7.3,Action  Science Fiction  Adventure
Harry Potter and the Deathly Hallows: Part 2,SF & Fantasy,125,http://www.harrypotter.com,English,Harry  Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards  Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.,/fTplI1NCSuEDP4ITLcTps739fcC.jpg,Warner Bros.,2011,Blockbuster,1342,It all ends here.,7.9,Fantasy  Family  Adventure
Frozen,Action,150,http://movies.disney.com/frozen,English,Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff  his reindeer Sven  and snowman Olaf. On an adventure where she will find out what friendship  courage  family  and true love really means.,/jIjdFXKUNtdf1bwqMrhearpyjMj.jpg,Walt Disney Pictures,2013,Blockbuster,1274,Only the act of true love will thaw a frozen heart.,7.3,Family  Adventure
Beauty and the Beast,Family,160,http://movies.disney.com/beauty-and-the-beast-2017,English,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,Walt Disney Pictures,2017,Blockbuster,1263,Be our guest.,6.8,Fantasy  Family  Romance
The Fate of the Furious,Thriller,250,http://www.fastandfurious.com/,English,When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him  the crew face trials that will test them as never before.,/g52r6ZXqRPfRagwsOaorOGWxOk3.jpg,Universal Pictures,2017,Blockbuster,1239,Family no more,6.8,Action  Thriller
Iron Man 3,Action,200,http://marvel.com/ironman3,English,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin  he starts an odyssey of rebuilding and retribution.,/1Ilv6ryHUv6rt9zIsbSEJUmmbEi.jpg,Marvel Studios,2013,Blockbuster,1215,Unleash the power behind the armor.,6.8,Action  Science Fiction  Adventure
Minions,Comedy,74,http://www.minionsmovie.com/,English,Minions Stuart  Kevin and Bob are recruited by Scarlet Overkill  a super-villain who  alongside her inventor husband Herb  hatches a plot to take over the world.,/q0R4crx2SehcEEQEkYObktdeFy.jpg,Universal Pictures,2015,Blockbuster,1157,Before Gru  they had a history of bad bosses,6.4,Comedy  Family  Adventure
Captain America: Civil War,SF & Fantasy,250,http://marvel.com/captainamericapremiere,English,Following the events of Age of Ultron  the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers  causing two factions to side with Iron Man or Captain America  which causes an epic battle between former allies.,/kSBXou5Ac7vEqKd97wotJumyJvU.jpg,Studio Babelsberg,2016,Blockbuster,1153,Divided We Fall,7.1,Action  Science Fiction  Adventure
Transformers: Dark of the Moon,SF & Fantasy,195,http://www.transformersmovie.com/,English,Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA  suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.,/sZY3ls18QTY0pFBJn2vl2MmauTQ.jpg,Paramount Pictures,2011,Blockbuster,1124,The invasion we always feared. An enemy we never expected.,6.1,Action  Science Fiction  Adventure
The Lord of the Rings: The Return of the King,SF & Fantasy,94,http://www.lordoftherings.net,English,Aragorn is revealed as the heir to the ancient kings as he  Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile  Frodo and Sam bring the ring closer to the heart of Mordor  the dark lord's realm.,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,WingNut Films,2003,Blockbuster,1119,The eye of the enemy is moving.,8.1,Action  Fantasy  Adventure
Skyfall,Action,200,http://www.skyfall-movie.com,English,When Bond's latest assignment goes gravely wrong and agents around the world are exposed  MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory  the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out  M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent  Eve - following a trail to the mysterious Silva  whose lethal and hidden motives have yet to reveal themselves.,/9qUcmHiPpfTJTacyZyxfGTnSz0V.jpg,Columbia Pictures,2012,Blockbuster,1109,Think on your sins.,6.9,Action  Adventure  Thriller
Transformers: Age of Extinction,SF & Fantasy,210,http://www.transformersmovie.com,English,"As humanity picks up the pieces  following the conclusion of ""Transformers: Dark of the Moon "" Autobots and Decepticons have all but vanished from the face of the planet. However  a group of powerful  ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient  powerful Transformer menace sets Earth in his cross-hairs.",/ykIZB9dYBIKV13k5igGFncT5th6.jpg,Paramount Pictures,2014,Blockbuster,1091,This is not war. It's extinction.,5.8,Action  Science Fiction  Adventure
The Dark Knight Rises,Thriller,250,http://www.thedarkknightrises.com/,English,Following the death of District Attorney Harvey Dent  Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later  Batman encounters the mysterious Selina Kyle and the villainous Bane  a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.,/dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg,Legendary Pictures,2012,Blockbuster,1085,The Legend Ends,7.6,Action  Drama  Thriller
Toy Story 3,Comedy,200,http://disney.go.com/toystory/,English,Woody  Buzz  and the rest of Andy's toys haven't been played with in years. With Andy about to go to college  the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.,/mMltbSxwEdNE4Cv8QYLpzkHWTDo.jpg,Walt Disney Pictures,2010,Blockbuster,1067,No toy gets left behind.,7.6,Comedy  Family
Pirates of the Caribbean: Dead Man's Chest,SF & Fantasy,200,http://disney.go.com/disneypictures/pirates/,English,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones  he also attempts to avoid eternal damnation.,/waFr5RVKaQ9dzOt3nQuIVB1FiPu.jpg,Walt Disney Pictures,2006,Blockbuster,1066,Jack is back!,7.0,Action  Fantasy  Adventure
Rogue One: A Star Wars Story,Action,200,http://www.starwars.com/films/rogue-one,English,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg,Lucasfilm,2016,Blockbuster,1056,A Rebellion Built on Hope,7.4,Action  Science Fiction  Adventure
Pirates of the Caribbean: On Stranger Tides,Action,380,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,English,Captain Jack Sparrow crosses paths with a woman from his past  and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge  the ship of the formidable pirate Blackbeard  Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.,/wNUDAq5OUMOtxMlz64YaCp7gZma.jpg,Walt Disney Pictures,2011,Blockbuster,1046,Live Forever Or Die Trying.,6.4,Action  Fantasy  Adventure
Finding Dory,Family,200,http://movies.disney.com/finding-dory,English,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,/z09QAf8WbZncbitewNk6lKYMZsh.jpg,Walt Disney Pictures,2016,Blockbuster,1029,An unforgettable journey she probably won't remember.,6.8,Comedy  Family  Adventure
Alice in Wonderland,SF & Fantasy,200,http://disney.go.com/wonderland/,English,Alice  an unpretentious and individual 19-year-old  is betrothed to a dunce of an English nobleman. At her engagement party  she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland ' she finds herself in a world that resembles the nightmares she had as a child  filled with talking animals  villainous queens and knights  and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.,/pvEE5EN5N1yjmHmldfL4aJWm56l.jpg,Walt Disney Pictures,2010,Blockbuster,1025,You're invited to a very important date.,6.4,Fantasy  Family  Adventure
Zootopia,Family,150,http://movies.disney.com/zootopia,English,Determined to prove herself  Officer Judy Hopps  the first bunny on Zootopia's police force  jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.,/sM33SANp9z6rXW8Itn7NnG1GOEs.jpg,Walt Disney Pictures,2016,Blockbuster,1024,Welcome to the urban jungle.,7.7,Comedy  Family  Adventure
The Hobbit: An Unexpected Journey,Action,250,http://www.thehobbit.com/,English,Bilbo Baggins  a hobbit enjoying his quiet life  is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug  the dragon.,/ysX7vDmSh5O19vFjAi56WL7l4nk.jpg,WingNut Films,2012,Blockbuster,1021,From the smallest beginnings come the greatest legends.,7.0,Action  Fantasy  Adventure
Despicable Me 3,Action,80,http://www.despicable.me,English,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,/5qcUGqWoWhEsoQwNUrtf3y3fcWn.jpg,Illumination Entertainment,2017,Blockbuster,1020,Oh brother.,6.2,Action  Comedy  Family  Adventure
The Dark Knight,Action,185,http://thedarkknight.warnerbros.com/dvdsite/,English,Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent  Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective  but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,DC Comics,2008,Blockbuster,1005,Why So Serious?,8.3,Action  Drama  Thriller
Harry Potter and the Philosopher's Stone,SF & Fantasy,125,http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,English,Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday  he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster  Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.,/dCtFvscYcXQKTNvyyaQr2g2UacJ.jpg,1492 Pictures,2001,Blockbuster,976,Let the Magic Begin.,7.5,Fantasy  Family  Adventure
Despicable Me 2,Comedy,76,http://www.despicableme.com/,English,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,/kQrYyZQHkwkUg2KlUDyvymj9FAp.jpg,Universal Pictures,2013,Blockbuster,971,Back 2 Work,7.0,Comedy  Family
The Jungle Book,SF & Fantasy,175,http://movies.disney.com/the-jungle-book-2016,English,After a threat from the tiger Shere Khan forces him to flee the jungle  a man-cub named Mowgli embarks on a journey of self discovery with the help of panther  Bagheera  and free spirited bear  Baloo.,/vOipe2myi26UDwP978hsYOrnUWC.jpg,Walt Disney Pictures,2016,Blockbuster,967,,6.7,Fantasy  Family  Drama  Adventure
Pirates of the Caribbean: At World's End,SF & Fantasy,300,http://disney.go.com/disneypictures/pirates/,English,Captain Barbossa  long believed to be dead  has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.,/bXb00CkHqx7TPchTGG131sWV59y.jpg,Walt Disney Pictures,2007,Blockbuster,961,At the end of the world  the adventure begins.,6.9,Action  Fantasy  Adventure
The Hobbit: The Desolation of Smaug,Action,250,http://www.thehobbit.com/,English,The Dwarves  Bilbo and Gandalf have successfully escaped the Misty Mountains  and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon  Smaug.,/gQCiuxGsfiXH1su6lp9n0nd0UeH.jpg,WingNut Films,2013,Blockbuster,958,Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6,Fantasy  Adventure
The Hobbit: The Battle of the Five Armies,Action,250,http://www.thehobbit.com/,English,Immediately after the events of The Desolation of Smaug  Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor  fueled by the rise of the dark lord Sauron. Dwarves  elves and men must unite  and the hope for Middle-Earth falls into Bilbo's hands.,/9zRzFJuaj0CHIOhAkcCcFTvyu2X.jpg,WingNut Films,2014,Blockbuster,956,Witness the defining chapter of the Middle-Earth saga,7.1,Action  Fantasy  Adventure
Harry Potter and the Deathly Hallows: Part 1,SF & Fantasy,250,http://www.harrypotter.com,English,Harry  Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes  putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose  the world is more dangerous than ever.,/maP4MTfPCeVD2FZbKTLUgriOW4R.jpg,Warner Bros.,2010,Blockbuster,954,One Way… One Fate… One Hero.,7.5,Fantasy  Family  Adventure
Finding Nemo,Family,94,http://movies.disney.com/finding-nemo,English,Nemo  an adventurous young clownfish  is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks  surfer dude turtles  hypnotic jellyfish  hungry seagulls  and more along the way.,/syPWyeeqzTQIxjIUaIFI7d0TyEY.jpg,Pixar Animation Studios,2003,Blockbuster,940,There are 3.7 trillion fish in the ocean. They're looking for one.,7.6,Family
Harry Potter and the Order of the Phoenix,SF & Fantasy,150,http://www.harrypotterorderofthephoenix.com/,English,Returning for his fifth year of study at Hogwarts  Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice  Harry takes matters into his own hands  training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.,/4YnLxYLHhT4UQ8i9jxAXWy46Xuw.jpg,Warner Bros.,2007,Blockbuster,938,Evil Must Be Confronted.,7.4,Fantasy  Family  Adventure
Harry Potter and the Half-Blood Prince,Action,250,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,English,As Harry begins his sixth year at Hogwarts  he discovers an old book marked as 'Property of the Half-Blood Prince'  and begins to learn more about Lord Voldemort's dark past.,/bFXys2nhALwDvpkF3dP3Vvdfn8b.jpg,Warner Bros.,2009,Blockbuster,934,Dark Secrets Revealed,7.4,Fantasy  Family  Adventure
The Lord of the Rings: The Two Towers,SF & Fantasy,79,http://www.lordoftherings.net/,English,Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli  Legolas and Aragorn search for the orc-captured Merry and Pippin. All along  nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,WingNut Films,2002,Blockbuster,926,A New Power Is Rising.,8.0,Action  Fantasy  Adventure
Star Wars: Episode I - The Phantom Menace,Action,115,http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,English,Anakin Skywalker  a young slave strong with the Force  is discovered on Tatooine. Meanwhile  the evil Sith have returned  enacting their plot for revenge against the Jedi.,/n8V09dDc02KsSN6Q4hC2BX6hN8X.jpg,Lucasfilm,2015,Blockbuster,924,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,6.4,Action  Science Fiction  Adventure
Shrek 2,Family,150,http://www.shrek2.com/,English,Shrek  Fiona and Donkey set off to Far  Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along  and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.,/akWDA0BMVYK4OTM92T5i91DYnsT.jpg,DreamWorks SKG,2004,Blockbuster,920,Once upon another time...,6.7,Comedy  Fantasy  Family  Adventure
Jurassic Park,Action,63,http://www.jurassicpark.com/,English,A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day  he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However  the park is anything but amusing as the security systems go off-line and the dinosaurs escape.,/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg,Universal Pictures,2007,Blockbuster,920,An adventure 65 million years in the making.,7.6,Science Fiction  Adventure
Harry Potter and the Goblet of Fire,Family,150,http://harrypotter.warnerbros.com/,English,Harry starts his fourth year at Hogwarts  competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks  awaiting his chance to destroy Harry and all that he stands for.,/6sASqcdrEHXxUhA3nFpjrRecPD2.jpg,Patalex IV Productions Limited,2005,Blockbuster,896,Dark And Difficult Times Lie Ahead.,7.5,Fantasy  Family  Adventure
Spider-Man 3,SF & Fantasy,258,http://www.sonypictures.com/movies/spider-man3/,English,The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism  his alter ego  Peter Parker  deals with nemesis Eddie Brock and also gets caught up in a love triangle.,/sqZKCRYGovZ8aN99VVJSdL8Ja9k.jpg,Columbia Pictures,2007,Blockbuster,891,The battle within.,5.9,Action  Fantasy  Adventure
Ice Age: Dawn of the Dinosaurs,Action,90,http://www.iceagemovies.com/films/ice-age-dawn-of-the-dinosaurs,English,Times are changing for Manny the moody mammoth  Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.,/crAf8b9gFpcdvY7majL8xWzTbem.jpg,Blue Sky Studios,2009,Blockbuster,887,You Won't Believe Your Ice!,6.5,Comedy  Family  Adventure
Spectre,Action,245,http://www.sonypictures.com/movies/spectre/,English,A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive  Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.,/hE24GYddaxB9MVZl1CaiI86M3kp.jpg,Columbia Pictures,2015,Blockbuster,881,A Plan No One Escapes,6.3,Action  Adventure
Ice Age: Continental Drift,Family,95,http://www.iceagemovies.com/films/ice-age-continental-drift,English,Manny  Diego  and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship  they encounter sea creatures and battle pirates as they explore a new world.,/u30xsZd3mijrdBKA6CeDsozx48g.jpg,Blue Sky Studios,2012,Blockbuster,877,Manny  Diego  and Sid embark upon another adventure after their continent is set adrift.,6.2,Comedy  Family  Adventure
Harry Potter and the Chamber of Secrets,Action,100,,English,Ignoring threats to his life  Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,1492 Pictures,2002,Blockbuster,877,Hogwarts is back in session.,7.4,Fantasy  Family  Adventure
The Secret Life of Pets,Family,75,http://www.thesecretlifeofpets.com/,English,The quiet life of a terrier named Max is upended when his owner takes in Duke  a stray whom Max instantly dislikes.,/WLQN5aiQG8wc9SeKwixW7pAR8K.jpg,Universal Pictures,2016,Blockbuster,875,Think this is what they do all day?,5.9,Family
Batman v Superman: Dawn of Justice,SF & Fantasy,250,http://www.batmanvsupermandawnofjustice.com/,English,Fearing the actions of a god-like Super Hero left unchecked  Gotham City’s own formidable  forceful vigilante takes on Metropolis’s most revered  modern-day savior  while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another  a new threat quickly arises  putting mankind in greater danger than it’s ever known before.,/cGOPbv9wA5gEejkUN892JrveARt.jpg,DC Comics,2016,Blockbuster,873,Justice or revenge,5.7,Action  Fantasy  Adventure
The Lord of the Rings: The Fellowship of the Ring,Action,93,http://www.lordoftherings.net/,English,Young hobbit Frodo Baggins  after inheriting a mysterious ring from his uncle Bilbo  must leave his home in order to keep it from falling into the hands of its evil creator. Along the way  a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom  the only place where it can be destroyed.,/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,WingNut Films,2001,Blockbuster,871,One ring to rule them all,8.0,Action  Fantasy  Adventure
Guardians of the Galaxy Vol. 2,Comedy,200,http://marvel.com/movies/movie/221/guardians_of_the_galaxy_vol_2,English,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,Walt Disney Pictures,2017,Blockbuster,863,Obviously.,7.6,Action  Comedy  Science Fiction  Adventure
Inside Out,Family,175,http://movies.disney.com/inside-out,English,Growing up can be a bumpy road  and it's no exception for Riley  who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us  Riley is guided by her emotions - Joy  Fear  Anger  Disgust and Sadness. The emotions live in Headquarters  the control center inside Riley's mind  where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco  turmoil ensues in Headquarters. Although Joy  Riley's main and most important emotion  tries to keep things positive  the emotions conflict on how best to navigate a new city  house and school.,/aAmfIX3TT40zUHGcCKrlOZRKC7u.jpg,Walt Disney Pictures,2015,Blockbuster,858,Meet the little voices inside your head.,7.9,Comedy  Family  Drama
Star Wars: Episode III - Revenge of the Sith,Action,113,http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,English,Years after the onset of the Clone Wars  the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy  the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice – Darth Vader. The Jedi are decimated  as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring – the twin children born in secrecy who will grow up to become heroes.,/tgr5Pdy7ehZYBqBkN2K7Q02xgOb.jpg,Lucasfilm,2005,Blockbuster,850,The saga is complete.,7.1,Action  Science Fiction  Adventure
The Hunger Games: Catching Fire,Action,130,http://www.thehungergames.movie/,English,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends  embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering  but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",/Hn0KgefVEp0GkdTexS6gfKTMfi.jpg,Lionsgate,2013,Blockbuster,847,Every revolution begins with a spark.,7.4,Action  Science Fiction  Adventure
Transformers: Revenge of the Fallen,Action,150,http://www.transformersmovie.com/,English,Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols  the Decepticons target him and he is dragged back into the Transformers' war.,/kVISXAXDYhjQCfu50QZeCCzzbPv.jpg,Paramount Pictures,2009,Blockbuster,836,Revenge is coming.,6.0,Action  Science Fiction  Adventure
The Twilight Saga: Breaking Dawn - Part 2,Drama,120,,English,After the birth of Renesmee  the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.,/kJQPygYB8aNEevZZHRifyYrAdU9.jpg,Summit Entertainment,2012,Blockbuster,829,The epic finale that will live forever,6.1,Fantasy  Drama  Adventure  Romance
Inception,Action,160,http://inceptionmovie.warnerbros.com/,English,"Cobb  a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception""  the implantation of another person's idea into a target's subconscious.",/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,Legendary Pictures,2010,Blockbuster,826,Your mind is the scene of the crime.,8.1,Action  Science Fiction  Adventure  Thriller
Spider-Man,SF & Fantasy,139,http://www.sonypictures.com/movies/spider-man/,English,After being bitten by a genetically altered spider  nerdy high school student Peter Parker is endowed with amazing powers.,/rZd0y1X1Gw4t5B3f01Qzj8DYY66.jpg,Columbia Pictures,2002,Blockbuster,822,With great power comes great responsibility.,6.8,Action  Fantasy
Wonder Woman,Action,149,http://www.warnerbros.com/wonder-woman,English,An Amazon princess comes to the world of Man to become the greatest of the female superheroes.,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,Dune Entertainment,2017,Blockbuster,821,Power. Grace. Wisdom. Wonder.,7.2,Action  Fantasy  Adventure
Independence Day,SF & Fantasy,75,,English,On July 2  a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3  the United States conducts a coordinated counterattack that fails. On July 4  a plan is devised to gain access to the interior of the alien mothership in space  in order to plant a nuclear missile.,/bqLlWZJdhrS0knfEJRkquW7L8z2.jpg,Twentieth Century Fox Film Corporation,2005,Blockbuster,817,Earth. Take a good look. It might be your last.,6.7,Action  Science Fiction  Adventure
